#FeatureID  Kingdom Phylum  Class Order Family  Genus Species
5 a b c d e f
7 a b c d e f
3 a b c d e f
6 a b c d e f
1 a b c d e f
8 a b c d e f
9 a b c d e f
2 a b c d e f
4 a b c d e f
14 a b c d e f
12 a b c d e f
18 a b c d e f
17 a b c d e f
15 a b c d e f
19 a b c d e f
10 a b c d e f
11 a b c d e f
13 a b c d e f
16 a b c d e f
24 a b c d e f
20 a b c d e f
27 a b c d e f
28 a b c d e f
21 a b c d e f
26 a b c d e f
23 a b c d e f
22 a b c d e f
25 a b c d e f
29 a b c d e f
30 a b c d e f
35 a b c d e f
37 a b c d e f
36 a b c d e f
31 a b c d e f
32 a b c d e f
39 a b c d e f
33 a b c d e f
38 a b c d e f
34 a b c d e f
44 a b c d e f
40 a b c d e f
47 a b c d e f
46 a b c d e f
48 a b c d e f
41 a b c d e f
45 a b c d e f
42 a b c d e f
43 a b c d e f
49 a b c d e f
50 a b c d e f
